feature_set,embedding_method,phi_resonance,pi_resonance,sqrt2_resonance,e_resonance,convex_hull_area,centroid_distance_variance,angular_distribution,activity_distance_correlation,activity_position_correlation_x_correlation,activity_position_correlation_y_correlation,projection_complexity,geometric_entropy
geometric,pca,0.07068068068068067,0.04581181181181181,0.06831431431431431,0.06292692692692693,0.9764102592605262,0.01816634786952388,4.770404251858981e-05,-0.00016903150872829564,0.020584791458737366,0.06780459735727244,-10.78117668099178,6.283243562127568
geometric,umap_standard,0.07486686686686686,0.04126926926926927,0.0729069069069069,0.05981581581581582,0.9839844719008335,0.01905745051955889,4.3940694283332e-05,0.00259849457486298,0.02757186931935584,0.06706698736270457,-10.62431263994658,6.280058754140575
geometric,umap_tight,0.0766966966966967,0.04118318318318318,0.07455655655655656,0.057587587587587585,0.9793103667271813,0.020307706572386508,4.017610545121462e-05,0.003802163893661421,0.009929369063087749,-0.027228777401374565,-10.409587281906788,6.2921983157595855
rdkit,pca,0.07714714714714714,0.040740740740740744,0.07506906906906907,0.05792592592592593,0.9798738843851824,0.019657977273533054,4.241281565618879e-05,0.009030884579379873,0.050621573117296634,0.057383067733044,-10.55346643739041,6.2804177909391585
rdkit,umap_standard,0.07849849849849849,0.03935935935935936,0.07705505505505506,0.056314314314314315,0.9868548649677126,0.02205658468808779,3.894361612910066e-05,-0.004255915111659746,0.012054232409805788,0.03347663259288378,-10.619654327220504,6.297553606185299
rdkit,umap_tight,0.07463463463463463,0.042336336336336336,0.07256456456456456,0.059287287287287285,0.9774472013738168,0.01976694124475889,4.418155944119751e-05,0.008948881610207871,-0.023940372135171764,-0.07597848946027731,-10.542325921239998,6.297822369707726
traditional,pca,0.0015675675675675676,8.008008008008007e-06,0.00031031031031031033,0.001091091091091091,790.8396010120521,30.549345457584764,0.00028459772170481715,0.029200481238755717,0.198888901414572,-0.02155292657350161,4.364000969870448,1.249289431214437
traditional,umap_standard,0.062436436436436434,0.012116116116116116,0.07636036036036035,0.017603603603603604,170.51693686889624,11.378546714782715,0.00018268628627993166,0.028921577536832964,-0.09489158147232661,0.2611856864937153,3.7111848564801533,4.287370946955812
traditional,umap_tight,0.07477677677677677,0.012272272272272271,0.08347547547547547,0.0163983983983984,356.18757313788626,10.538805961608887,0.00041683021117933095,0.03014428315810968,0.08808262690019615,-0.27227518137164586,3.4008294538509367,4.509324666110232
ecfp4,pca,2.002002002002002e-06,0.0032072072072072072,0.0,0.00015215215215215214,4918.270237791301,48.890628612739775,6.406619005626723e-05,0.021024722354466025,0.07846500865250541,-0.014355576930070647,5.399267665629037,0.23478316779000125
ecfp4,umap_standard,0.08868868868868869,0.011371371371371371,0.09671271271271271,0.02913113113113113,26.450206798314916,0.6690142154693604,4.681601421907544e-05,0.2208036176125201,-0.16943991292627475,-0.4485806007733801,8.78131992699336,5.390774645995805
ecfp4,umap_tight,0.0324024024024024,0.0032052052052052053,0.0399039039039039,0.00809009009009009,591.5803348200438,11.389206886291504,0.00015359818644355983,0.011958554581345107,0.17327402781837006,-0.08319041899017222,4.312992410797385,2.7868031692943904
